Community,Nodes
4856,"[476354, 349070]"
4857,"[415488, 575041, 13314, 369667, 499780, 238465, 538114, 227974, 267, 276109, 52941, 79887, 476565, 385814, 521686, 553052, 516764, 374366, 256033, 90211, 435429, 59947, 573868, 238315, 334063, 288176, 109811, 172533, 85690, 476990]"
4858,"[68515, 62437, 494342, 163464, 13449, 415115, 32560, 455057, 555959, 487766, 114519, 135992, 347260, 378653]"
4859,"[545313, 174486, 422046, 184367]"
4860,"[88626, 69923]"
4861,"[36721, 223914, 220038]"
4862,"[466017, 45147, 563023]"
4863,"[157912, 440952]"
4864,"[178210, 468550, 214281, 174571, 212684, 233933, 266606, 470768, 303062, 406935, 449243]"
4865,"[363086, 497495]"
4866,"[536432, 272642, 193204]"
4867,"[25403, 415149]"
4868,"[361631, 5144, 207045, 155590, 152999, 131528, 249915, 287352, 422132, 303220, 276820, 339864, 418169, 370776, 369023]"
4869,"[417713, 1210, 259674]"
4870,"[217697, 521897, 415597, 201694]"
4871,"[542656, 66218]"
4872,"[529440, 323604, 461398, 394119, 176447]"
4873,"[503220, 99341]"
4874,"[18536, 481371]"
4875,"[562164, 333011, 288180]"
4876,"[38006, 308599]"
4877,"[374410, 352339, 112044, 437822]"
4878,"[366098, 291227]"
4879,"[44217, 447955, 194761]"
4880,"[222417, 370938]"
4881,"[176220, 138982]"
4882,"[519480, 229498]"
4883,"[573444, 421898, 284683, 546828, 434200, 372766, 251935, 557090, 315427, 249890, 483367, 385066, 380972, 124972, 6190, 509999, 18477, 385073, 315445, 182326, 204853, 88117, 108603, 526397, 462909, 548928, 141377, 198722, 161859, 563267, 165958, 481352, 84046, 319568, 280657, 340053, 163927, 188504, 460889, 278618, 211039, 295008, 292963, 305254, 284774, 231532, 481405, 65662, 366724, 428165, 73867, 180365, 391315, 336025, 536734, 217261, 133294, 467117, 544949, 149685, 84152, 94393, 360636, 360639, 522431, 274627, 299203, 198851, 321731, 413895, 100552, 272586, 63701, 274650, 542940, 78047, 26847, 495839, 90337, 409834, 207085, 389366, 178426, 493819, 415996, 317693, 153854, 145660, 309506, 49410, 100611, 26887, 387348, 196888, 198937, 172317, 526622, 233767, 428329, 37166, 299317, 368952, 440636, 411966, 454979, 536904, 254286, 362835, 391511, 565594, 366942, 133472, 401763, 211302, 162156, 360820, 188791, 536952, 452984, 190841, 180604, 250239, 463233, 180610, 41347, 35204, 170373, 489864, 154000, 305556, 338324, 375188, 41366, 29082, 328091, 276891, 113052, 287134, 254366, 375200, 127393, 498082, 391589, 549285, 108966, 151973, 117163, 379313, 399795, 141748, 76211, 276922, 455107, 174532, 154053, 51654, 321993, 369102, 307664, 82388, 336341, 496091, 98783, 502242, 90598, 422375, 125420, 340460, 514542, 569838, 352751, 444914, 180723, 358899, 70140, 113155, 260611, 555525, 436741, 25096, 217608, 481805, 139789, 254477, 469520, 442896, 307728, 514581, 545303, 86551, 172578, 119330, 524835, 383528, 442925, 561720, 563775, 561729, 391750, 150089, 447050, 338507, 334421, 565849, 449114, 141915, 246364, 574044, 180828, 186977, 121442, 275042, 115298, 498285, 160365, 445040, 139889, 350834, 483952, 199281, 537206, 572023, 557696, 359040, 350851, 285319, 354951, 541321, 207499, 492172, 574095, 273043, 98975, 555680, 146084, 19116, 524974, 404142, 203441, 68276, 486068, 336564, 217785, 117434, 477882, 240316, 355013, 303815, 539341, 96975, 305871, 465616, 142038, 33500, 512734, 285407, 557790, 203487, 213736, 37612, 408314, 549626, 82684, 135935, 135945, 426771, 88854, 418585, 353050, 185115, 480028, 475934, 557855, 62239, 273190, 236330, 2860, 451372, 131887, 193327, 260915, 111413, 150325, 566073, 412476, 344893, 471891, 283477, 197462, 381784, 531293, 379743, 473957, 404337, 414580, 467832, 428920, 369533, 213888, 256900, 146309, 420746, 146314, 406412, 19346, 574354, 238487, 211864, 230299, 310172, 154527, 543651, 428964, 242595, 72614, 543655, 439203, 234413, 476078, 557998, 523184, 457649, 551855, 349106, 555960, 232376, 461753, 545735, 27592, 64458, 519117, 355279, 105426, 326611, 414677, 510934, 568279, 390110, 295903, 197600, 512990, 285667, 469987, 492517, 166886, 3050, 557052, 388079, 408560, 136180, 295926, 197623, 535553, 121859, 218116, 142341, 547845, 162821, 502793, 29705, 185360, 197651, 287765, 216090, 443422, 386078, 111646, 449576, 506920, 214058, 508971, 89131, 255023, 326703, 449588, 388149, 5172, 3127, 570424, 560187, 345147, 128063, 328767, 93256, 439372, 48205, 560210, 44116, 339044, 214117, 54373, 226408, 261224, 511083, 130157, 380019, 283768, 156798, 320639, 431237, 40072, 169106, 371860, 119962, 214171, 351386, 134301, 242847, 517279, 521377, 267431, 371885, 404657, 199862, 294073, 144581, 33990, 13518, 298194, 251095, 326878, 290017, 175329, 505058, 267496, 183531, 210157, 486638, 294142, 1284, 197897, 58634, 220435, 400667, 470300, 513309, 302364, 161053, 480544, 478507, 347437, 462126, 224560, 384328, 296280, 400729, 220512, 265578, 40300, 386414, 298351, 42352, 154994, 322930, 134515, 19826, 322936, 365951, 284035, 466307, 152966, 257415, 312711, 257417, 120203, 232858, 71069, 167325, 277922, 392611, 546213, 501162, 103854, 302517, 523701, 200124, 218562, 495043, 392644, 546247, 468423, 355788, 189902, 120270, 153039, 425428, 482773, 71128, 429528, 439770, 146909, 46558, 556514, 380390, 146920, 30185, 513514, 380395, 337392, 204273, 15860, 157172, 552440, 450044, 431615, 572932, 179718, 513542, 140807, 177672, 554506, 304658, 124435, 368148, 396818, 560663, 415256, 149021, 298526, 228895, 507425, 206369, 232995, 538151, 380459, 103993, 243259, 460349, 511552, 331330, 542276, 421444, 527950, 425551, 501330, 530005, 542293, 26200, 144985, 476763, 20061, 546398, 521823, 548448, 493152, 210532, 67177, 423529, 427625, 140908, 261744, 95856, 224882, 417393, 548470, 530041, 140922, 83583, 183936, 454276, 171654, 108167, 249480, 226955, 36499, 218773, 528022, 333464, 327320, 546459, 212637, 417440, 364193, 265895, 366248, 466601, 126638, 100019, 310964, 366265, 138937, 308924, 405181, 394940, 419517, 401089, 235203, 247493, 65225, 177870, 462547, 145109, 288470, 218837, 14039, 380637, 366304, 384737, 335587, 519912, 120554, 524012, 120557, 528110, 75504, 282352, 259832, 409337, 345849, 372478, 366335, 485119, 61186, 57094, 567050, 403214, 517911, 362270, 515876, 419621, 3884, 376621, 3892, 192310, 528182, 444222, 278335, 474944, 44866, 143175, 526154, 556876, 24397, 208723, 178017, 376685, 26478, 104303, 372596, 94070, 382847, 124799, 73601, 249732, 329605, 352137, 401290, 255883, 79758, 313232, 219025, 196500, 421784, 204700, 190365, 452510, 468896, 102307, 28582, 358311, 182186, 40875, 245680, 4017, 554930, 384951, 135096, 393156, 538574, 563152, 69584, 344019, 169940, 63446, 403415, 395232, 147426, 477158, 227306, 182257, 425972, 321525, 464886, 276471, 61436, 94205]"
4884,"[218616, 504883, 87756, 208099]"
4885,"[510371, 494438, 530376, 533289, 520906, 52333, 517037, 99894]"
4886,"[194065, 305154, 192535, 226888, 70042]"
4887,"[44350, 476284, 2470, 17175]"
4888,"[239417, 2162]"
4889,"[313241, 37522]"
4890,"[41509, 387512, 374121, 357787, 53340]"
4891,"[409020, 399095]"
4892,"[456690, 309179]"
4893,"[256074, 383010]"
4894,"[15872, 17539, 327694, 345124, 237543, 427406, 105119]"
4895,"[359776, 479097, 411202, 49845]"
4896,"[518184, 272280]"
4897,"[390003, 465156, 424485]"
4898,"[482349, 4045]"
4899,"[573954, 469364]"
4900,"[189809, 472330, 6636, 169070]"
4901,"[28915, 129219]"
4902,"[212002, 123589]"
4903,"[228048, 452257, 108643]"
4904,"[72378, 459572]"
4905,"[332486, 25900, 364025, 105294, 9901, 480114, 322099, 360921, 211134]"
4906,"[5392, 133862]"
4907,"[437881, 161316, 339893, 154430]"
4908,"[103545, 565275, 511004]"
4909,"[522632, 537786]"
4910,"[84806, 560071, 179430, 468208, 565141, 513431, 228024, 187065]"
4911,"[111026, 292604, 261310, 102382]"
4912,"[240826, 127078, 23751]"
4913,"[92609, 47762, 355414, 277398, 276408]"
4914,"[268584, 523241, 421481, 392468]"
4915,"[108897, 298409]"
4916,"[34843, 406646, 71174]"
4917,"[345066, 103140]"
4918,"[35233, 407161, 278653]"
4919,"[508152, 10150, 125143]"
4920,"[374561, 252654, 571166]"
4921,"[170471, 330351]"
4922,"[441689, 547962, 356174, 399902]"
4923,"[119514, 107375]"
4924,"[409512, 51528]"
4925,"[132344, 493905]"
4926,"[454280, 374300]"
4927,"[352936, 328117]"
4928,"[223548, 551541]"
4929,"[319470, 457239]"
4930,"[428568, 203133]"
4931,"[439928, 308313, 1854]"
4932,"[252586, 72682]"
4933,"[147467, 524590]"
4934,"[179089, 340075, 483448, 218427, 200812]"
4935,"[360288, 230788, 206761, 189871, 525457, 141811, 426586, 188606, 40350, 3358]"
4936,"[271522, 18308]"
4937,"[297834, 346882]"
4938,"[44, 338982]"
4939,"[207490, 115303]"
4940,"[176176, 114226, 477932, 472076, 258655]"
4941,"[246601, 298780]"
4942,"[87530, 495430]"
4943,"[3002, 435012, 289454, 384199]"
4944,"[274762, 541923]"
4945,"[196958, 42766]"
4946,"[131729, 474955]"
4947,"[377714, 460059, 524455]"
4948,"[473584, 228632, 208050]"
4949,"[262196, 212117]"
4950,"[97411, 250949]"
4951,"[266042, 175485, 290743]"
4952,"[279292, 120943]"
4953,"[391272, 165703]"
4954,"[392577, 465922, 344707, 201537, 132937, 541898, 289135]"
4955,"[257859, 386479]"
4956,"[168312, 237404]"
4957,"[203995, 250339]"
4958,"[245587, 554509, 420359]"
4959,"[288425, 99030]"
4960,"[198035, 465299]"
4961,"[349064, 222201, 244243, 193855]"
4962,"[464818, 398827]"
4963,"[138841, 97653]"
4964,"[122272, 508455, 70588, 242555, 498716]"
4965,"[5640, 83273]"
4966,"[114993, 253638, 549638, 254523, 575675]"
4967,"[432251, 140933]"
4968,"[138746, 173668]"
4969,"[255712, 526943]"
4970,"[22465, 388097, 345537, 293385, 228618, 124073, 183598, 3027, 281589]"
4971,"[264048, 530849, 399554]"
4972,"[173416, 236645]"
4973,"[377456, 361473, 382884, 398085, 373949]"
4974,"[397977, 338522, 26820]"
4975,"[335609, 565827, 312823]"
4976,"[164323, 72148, 142969, 15052, 475695]"
4977,"[464164, 441959, 446698, 34926, 501390, 121296, 239254, 239675, 159324, 411103]"
4978,"[104536, 15522, 282314]"
4979,"[247697, 67354, 90931]"
4980,"[446918, 178142]"
4981,"[448808, 357563]"
4982,"[1074, 101436]"
4983,"[543896, 14187]"
4984,"[235930, 558687]"
4985,"[113024, 395332, 574981, 219973, 348357, 86598, 541065, 570443, 166476, 171343, 568081, 190483, 503123, 103383, 330905, 109147, 375199, 498979, 462572, 412336, 469362, 264312, 314809, 571642, 331387, 567868, 132223]"
4986,"[266744, 12541]"
4987,"[418129, 80077]"
4988,"[153057, 21062]"
4989,"[508786, 72748]"
4990,"[332365, 244343]"
4991,"[213770, 512187, 531100, 367334]"
4992,"[255515, 199403, 26835]"
4993,"[133121, 62901, 287333, 326277, 61272, 199941, 114111]"
4994,"[399436, 540989]"
4995,"[85632, 76417, 72000, 233987, 190787, 18821, 53317, 469959, 484423, 350410, 469836, 340943, 362644, 49238, 176164, 556068, 401834, 261949, 249066, 414833, 538354, 25338, 557181]"
4996,"[277235, 437085, 265423]"
4997,"[145664, 200794, 56503]"
4998,"[59114, 537364]"
4999,"[382818, 248452]"
5000,"[167073, 106866]"
5001,"[426808, 13885]"
5002,"[510154, 20958]"
5003,"[46130, 235814]"
5004,"[414385, 188216, 26593, 159206, 97112]"
5005,"[430498, 174740]"
5006,"[231505, 166274]"
5007,"[272401, 333173]"
5008,"[106721, 275706, 117908]"
5009,"[309699, 176149, 405959]"
5010,"[469931, 467772, 420446]"
5011,"[248346, 234156]"
5012,"[417083, 441862]"
5013,"[514766, 197791]"
5014,"[504960, 319657]"
5015,"[125185, 336894]"
5016,"[272985, 164314]"
5017,"[187664, 262061, 235694]"
5018,"[107323, 307220, 522118, 116375]"
5019,"[507145, 571323]"
5020,"[170210, 272102, 80223]"
5021,"[551265, 244985, 221614]"
5022,"[178812, 1788, 91382]"
5023,"[460602, 203565]"
5024,"[460006, 529534]"
5025,"[158016, 307317, 214106, 98268, 432540, 326366, 327951]"
5026,"[301851, 313580, 414079]"
5027,"[480459, 160143]"
5028,"[453576, 3157]"
5029,"[332914, 336727, 455660, 186524, 98318]"
5030,"[162121, 174843, 549422, 122335]"
5031,"[559056, 318820]"
5032,"[407024, 284513, 555968, 298918, 575928, 97385, 501900]"
5033,"[15120, 209604, 7929, 334411, 258222]"
5034,"[517216, 271997, 15406]"
5035,"[103424, 1037]"
5036,"[172099, 444339, 405999]"
5037,"[68617, 565183]"
5038,"[231180, 82495]"
5039,"[4739, 207189, 571655]"
5040,"[283250, 546418]"
5041,"[66626, 45444, 139301, 220590]"
5042,"[372063, 187247]"
5043,"[164484, 106422]"
5044,"[263721, 179755]"
5045,"[122754, 408052, 563625, 348059, 523166]"
5046,"[60849, 513444, 33526, 310476, 302845, 515535]"
5047,"[419913, 416243, 385285]"
5048,"[199505, 457089, 400492, 418949]"
5049,"[264258, 175357]"
5050,"[109451, 124540, 399397]"
5051,"[90404, 392023]"
5052,"[246672, 344180]"
5053,"[430626, 25555, 260980, 409381, 336938]"
5054,"[127321, 268593, 465134]"
5055,"[569450, 185564]"
5056,"[249067, 111364]"
5057,"[188712, 241969, 310455]"
5058,"[503936, 101838, 79151, 210878, 361711]"
5059,"[453154, 55495]"
5060,"[418266, 194029]"
5061,"[170082, 470307, 10725, 427693, 207183, 228208, 454161, 285138, 238898, 491861]"
5062,"[270738, 129110, 569383, 570921, 433965, 435407]"
5063,"[525260, 46230]"
5064,"[229284, 439615]"
5065,"[544929, 230467]"
5066,"[259664, 474697]"
5067,"[479793, 131730, 53735]"
5068,"[435560, 294530]"
5069,"[382978, 10249, 65561, 213017, 491547, 464926, 221215, 544799, 217119, 4133, 389162, 309291, 444460, 163886, 47153, 497717, 524343, 284728, 442425, 444480, 213057, 63557, 540741, 18504, 358476, 397392, 251985, 208984, 493659, 82011, 374879, 36961, 315497, 387178, 372841, 67692, 225391, 303225, 241790, 233599, 71807, 503937, 217219, 174212, 94343, 569481, 387215, 147602, 254099, 151703, 96413, 4254, 67745, 231594, 411820, 512173, 258231, 204985, 170169, 133310, 301251, 217287, 315592, 180425, 186571, 221388, 334033, 205012, 301268, 487640, 377050, 266463, 4323, 293092, 350441, 221421, 102645, 207096, 397566, 26882, 24840, 473354, 252173, 106768, 57617, 444688, 334101, 268567, 205085, 237855, 264483, 342308, 219431, 528688, 530736, 213297, 84273, 414001, 266544, 465205, 563513, 256314, 80189, 565579, 508236, 49485, 391503, 72018, 246103, 330075, 156001, 432482, 473443, 385382, 359, 199016, 282986, 330098, 428403, 272760, 420219, 53627, 393600, 151938, 235909, 493958, 248206, 387473, 338321, 387478, 31127, 291224, 131481, 383387, 209309, 545183, 143777, 127395, 49572, 463268, 16806, 457128, 326062, 504239, 156082, 8627, 438720, 299462, 502214, 223687, 319946, 76237, 352734, 387556, 461291, 78316, 12780, 524782, 526830, 492023, 178681, 420346, 401918, 104964, 78342, 426508, 344591, 428566, 350743, 537115, 494108, 559648, 33313, 137763, 393769, 567851, 381485, 223789, 487984, 401969, 188977, 4658, 535090, 465461, 238141, 51776, 53827, 567877, 37451, 35404, 315988, 232022, 92758, 33369, 492136, 500330, 361071, 422513, 119412, 506485, 467573, 418423, 518776, 393851, 82560, 266881, 162435, 107145, 201354, 273038, 174737, 45714, 23187, 510612, 156309, 496278, 397976, 348832, 293539, 240301, 318127, 10933, 414390, 434870, 355008, 203456, 295625, 344783, 541393, 291545, 502489, 502492, 330460, 4828, 338653, 207585, 39655, 330474, 563953, 29430, 119545, 146170, 389887, 164610, 113414, 183046, 545544, 494344, 29450, 391946, 236300, 267022, 469784, 367392, 342820, 377638, 70445, 340782, 371511, 312120, 432953, 281401, 6973, 373568, 183105, 404290, 389959, 11083, 377675, 205645, 572242, 60248, 252762, 256858, 25443, 281452, 559980, 498542, 471917, 447346, 60281, 400250, 68481, 181121, 369545, 33673, 228234, 418707, 154523, 324520, 105386, 496556, 500656, 54192, 480184, 566202, 506811, 256956, 256963, 457671, 521167, 351186, 123860, 70612, 54231, 330711, 173022, 310240, 62432, 392161, 78823, 236522, 99310, 551919, 232433, 535540, 191477, 488437, 80886, 134141, 273406, 27649, 240645, 68616, 246798, 406542, 68625, 357400, 136231, 46119, 9261, 355375, 115766, 445500, 400449, 121922, 201795, 277575, 343116, 554061, 552015, 490578, 240724, 406615, 461921, 136294, 402537, 402543, 128111, 451699, 113782, 218233, 322682, 62586, 343166, 498820, 189574, 95367, 156807, 568460, 9374, 396449, 515235, 156837, 527534, 42159, 445616, 70832, 173231, 25781, 320700, 197823, 511168, 64704, 513222, 79047, 527564, 470222, 298190, 326862, 60625, 74961, 285909, 292059, 52444, 388316, 380131, 138470, 304363, 369905, 187634, 220408, 531705, 285949, 410879, 562434, 546053, 474378, 255245, 238862, 81171, 505110, 357658, 66843, 122140, 380198, 3366, 546087, 85292, 7469, 124208, 27952, 505141, 243007, 73025, 531777, 89429, 206169, 517478, 226664, 525673, 130410, 537963, 472436, 327031, 341372, 419198, 181635, 195978, 550283, 411019, 365967, 501136, 535953, 269717, 523681, 167330, 343460, 83366, 509350, 351656, 329139, 255418, 54724, 370117, 99785, 222678, 107991, 462307, 542181, 341485, 366062, 556533, 452089, 255482, 128517, 501256, 36360, 417288, 548365, 89613, 249361, 386579, 292372, 515606, 204311, 91675, 32283, 390689, 22055, 462375, 149031, 144938, 245295, 243252, 325172, 396857, 314940, 101949, 167487, 134720, 210496, 15944, 187979, 83532, 321102, 523854, 77392, 376401, 187986, 519759, 558676, 169557, 274005, 513623, 153176, 458330, 417372, 65117, 140899, 132723, 532090, 251514, 30332, 403068, 65153, 300681, 89737, 229003, 509579, 521869, 437902, 269985, 456355, 212643, 528039, 456369, 485042, 452276, 235196, 509630, 9920, 116416, 79553, 339650, 550600, 155341, 534226, 243410, 521941, 245464, 132824, 329434, 188123, 50912, 331491, 206564, 261862, 91885, 247538, 190195, 196339, 220914, 149238, 458487, 268023, 243447, 204555, 239371, 380684, 87844, 247590, 382769, 253746, 519987, 173881, 532288, 548675, 112455, 75592, 274248, 192330, 290634, 384845, 417614, 436046, 440143, 290641, 208724, 575321, 69468, 565089, 438114, 309089, 218980, 237414, 515945, 186218, 22381, 511855, 210801, 30579, 114548, 511863, 3961, 112508, 149372, 411516, 454525, 83841, 63361, 448387, 87949, 243611, 151456, 493477, 260009, 509867, 466862, 309169, 133043, 36790, 57270, 448440, 520119, 362426, 139195, 380862, 442303, 24511, 552895, 430026, 57297, 339925, 430046, 321503, 298974, 438245, 554986, 63467, 354284, 292845, 509936, 124914, 370674, 102386, 524281, 442362]"
5070,"[56363, 84691]"
5071,"[160008, 492597]"
5072,"[473330, 447091]"
5073,"[490641, 430763]"
5074,"[434868, 102084, 59670, 198964, 146348, 293166, 532511]"
5075,"[6147, 364548, 134147, 61451, 515087, 305171, 131092, 391189, 463899, 61475, 366628, 349220, 289831, 511015, 322604, 479278, 306223, 513075, 432194, 420930, 147527, 438348, 545873, 381010, 38995, 255061, 107606, 207960, 257113, 448603, 176222, 278624, 3179, 383085, 280685, 140401, 14452, 3188, 3189, 10363, 491644, 545916, 461950, 201855, 120964, 528518, 470153, 546957, 144527, 459920, 431249, 446613, 380056, 290970, 118958, 475310, 408752, 246960, 414899, 141494, 427198, 88261, 439498, 144588, 495822, 407759, 542926, 127183, 426192, 224464, 486612, 436437, 299225, 31964, 187617, 418022, 518374, 549094, 438506, 204012, 419052, 440561, 281852, 374014, 320767, 546064, 470296, 506138, 420124, 254236, 317729, 309538, 8485, 531761, 222515, 142644, 303413, 2358, 545079, 160057, 189754, 400699, 74057, 15692, 7503, 12624, 280920, 385371, 87387, 350557, 452960, 570723, 544100, 177510, 202088, 141681, 302450, 535922, 521591, 331138, 45443, 328068, 61827, 165251, 542084, 316807, 448906, 437643, 220560, 247185, 164244, 3477, 331159, 73111, 389533, 531870, 125343, 474534, 261542, 286126, 133554, 412082, 356789, 204217, 296377, 217531, 289211, 444860, 329146, 67004, 436675, 474564, 152005, 287176, 26057, 502218, 565710, 84432, 541137, 117202, 211410, 493011, 418262, 476634, 62942, 545249, 350692, 12776, 125417, 62962, 455160, 454137, 460285, 377342, 470530, 214534, 300551, 567822, 57871, 100881, 252434, 253457, 194069, 176664, 221720, 364059, 323101, 516638, 547359, 553504, 308765, 547362, 463401, 557613, 399917, 22061, 231991, 436794, 270907, 287290, 536122, 253504, 268866, 322118, 427591, 328267, 349771, 204371, 63060, 331350, 224857, 292442, 311900, 176737, 296545, 386665, 308844, 473709, 499308, 560749, 331376, 576113, 147059, 53877, 507515, 193148, 323196, 320128, 446081, 420489, 16010, 555661, 139927, 120472, 316059, 55964, 139935, 514719, 431779, 248484, 8868, 551591, 151207, 485031, 332460, 387760, 208560, 478899, 55294, 63159, 35515, 32447, 536256, 337610, 390858, 271056, 541396, 187096, 219869, 220894, 493279, 357090, 409315, 274149, 318184, 455407, 31473, 536305, 387827, 510708, 4854, 224006, 333574, 777, 574219, 87820, 51982, 420629, 267032, 331544, 261917, 573215, 571167, 119585, 365346, 123683, 403236, 446246, 15149, 513843, 355130, 501562, 143166, 466750, 334657, 387930, 64346, 505691, 42846, 452448, 251745, 487270, 328556, 322412, 83822, 541553, 191347, 29556, 299893, 372601, 342908, 379773, 159613, 98177, 448386, 455555, 403331, 286596, 524171, 163723, 270224, 164753, 324606, 352161, 414627, 508838, 71591, 155560, 201642, 242607, 135088, 258994, 214963, 367542, 172983, 95179, 421836, 202701, 245710, 40916, 298966, 115671, 316376, 575452, 22494, 545762, 25571, 69605, 193511, 452584, 169961, 225258, 58352, 316402, 27635, 192500, 547829, 40957, 560126]"
5076,"[434985, 9764]"
5077,"[209225, 571180, 141725]"
5078,"[342480, 439797, 307781]"
5079,"[81442, 275075]"
5080,"[447910, 497386, 21659, 49934, 130511]"
5081,"[377072, 482817, 208014, 318503]"
5082,"[354819, 202421, 575829, 310503, 543738, 352012]"
5083,"[328757, 338996, 540845]"
5084,"[201520, 265989]"
5085,"[460066, 505669, 522024, 49450, 282619]"
5086,"[216029, 374639]"
5087,"[219457, 48393, 255083, 473773]"
5088,"[245414, 62327]"
5089,"[8432, 418977, 67955, 235543, 323679]"
5090,"[145633, 108967]"
5091,"[294321, 14745, 329078]"
5092,"[37961, 518675, 569255]"
5093,"[356794, 305285]"
5094,"[215593, 93115]"
5095,"[141169, 514071, 185069, 543327]"
5096,"[474281, 53041]"
5097,"[488840, 440689]"
5098,"[377811, 300413, 2463]"
5099,"[213426, 234790]"
5100,"[446769, 201322, 141195, 273732]"
5101,"[309890, 64297, 548170, 511756, 331436, 238926, 538705, 213939, 503800, 309725]"
5102,"[252624, 292233, 60819]"
5103,"[448448, 161396, 483014, 354712, 476939, 387468]"
5104,"[405396, 531717, 443607, 30649, 54026, 189517]"
5105,"[560453, 512616, 462891, 569372, 64462, 134067, 322996, 77912, 175514, 332956]"
5106,"[567352, 504651, 532380]"
5107,"[271210, 294674]"
5108,"[27241, 192673]"
5109,"[352433, 316075]"
5110,"[299258, 459947]"
5111,"[498520, 21458]"
5112,"[297840, 142066, 463558, 11434, 435420]"
5113,"[515512, 391456]"
5114,"[31482, 427059, 353125]"
5115,"[545616, 39954, 315748, 39672, 553979, 445372]"
5116,"[376339, 60533, 233228, 243098, 385884, 178061]"
5117,"[492747, 491349, 446190]"
5118,"[435860, 473742, 206823]"
5119,"[202552, 374667, 323134]"
5120,"[116265, 342419]"
5121,"[447690, 534787, 499444]"
5122,"[192386, 264358]"
5123,"[50586, 523044, 313517, 508263]"
5124,"[447651, 134535, 152552, 367017, 385132, 264205, 290159, 157719, 259099]"
5125,"[280937, 544878]"
5126,"[63472, 84571]"
5127,"[441264, 405726, 265798]"
5128,"[47097, 27910]"
5129,"[562841, 29149]"
5130,"[257520, 103388, 462349, 14942]"
5131,"[515930, 355652]"
5132,"[273380, 482878]"
5133,"[139699, 46102, 275240, 522603, 54719]"
5134,"[152114, 195645, 34030]"
5135,"[412192, 34148, 184424, 348873, 393579, 393676, 322349, 30449, 5618, 408081, 522804, 218037, 74808, 122047]"
5136,"[467483, 560501, 549502]"
5137,"[349962, 381275]"
5138,"[419798, 269894]"
5139,"[381904, 72164]"
5140,"[112777, 468165]"
5141,"[519830, 406724, 423630]"
5142,"[271704, 297345]"
5143,"[148145, 424980]"
5144,"[356341, 111175, 146535]"
5145,"[225304, 431965, 63990]"
5146,"[81282, 7123]"
5147,"[258905, 201135, 156507, 495921]"
5148,"[572427, 123611]"
5149,"[1696, 567362, 283052]"
5150,"[278834, 348268]"
5151,"[397573, 519848, 573609, 507115, 353549, 564238, 235704, 6940, 18941]"
5152,"[214874, 423047]"
5153,"[385800, 458851, 498603]"
5154,"[22016, 554308, 184662, 512023]"
5155,"[206346, 353702, 51439]"
5156,"[54824, 40369]"
5157,"[42895, 272559]"
5158,"[54818, 406103, 445403, 526, 186223]"
5159,"[197051, 367203, 246509, 471175]"
5160,"[313537, 99634, 274502]"
5161,"[335509, 431975]"
5162,"[485939, 366045]"
5163,"[510095, 54991]"
5164,"[206432, 378954]"
5165,"[226820, 189087]"
5166,"[549779, 455677]"
5167,"[67032, 533951, 542922, 308204, 22833, 452982, 325784, 199002, 230686, 534687]"
5168,"[186960, 381923, 452052, 56934, 59704, 276233, 198237]"
5169,"[240721, 451291, 129069, 185118]"
5170,"[118690, 458180, 179190, 412826, 37660]"
5171,"[537616, 203401, 344922, 401390, 169742]"
5172,"[294522, 445294]"
5173,"[430076, 265805]"
5174,"[117317, 178798]"
5175,"[118590, 433711]"
5176,"[545851, 354366]"
5177,"[203257, 437971]"
5178,"[225428, 570033, 215364]"
5179,"[260048, 381058, 409812, 568132, 30454, 3083]"
5180,"[133058, 74331, 106533]"
5181,"[165088, 556960, 402178, 173842, 42366]"
5182,"[260096, 199195, 489844]"
5183,"[523457, 406083]"
5184,"[123248, 267996, 242831]"
5185,"[547299, 11823]"
5186,"[103745, 184180, 84989]"
5187,"[488550, 424494]"
5188,"[102853, 456264, 85560, 28654, 336272, 87635, 110195, 533046, 290648, 312156]"
5189,"[312982, 300599]"
5190,"[314354, 142826]"
5191,"[310173, 97791]"
5192,"[246118, 123590, 124314]"
5193,"[80113, 554451, 536730, 213786, 277422]"
5194,"[575080, 89602]"
5195,"[564857, 133871]"
5196,"[25143, 563309, 465103]"
5197,"[182358, 403764, 204437, 223326]"
5198,"[544612, 171733, 314175, 497428]"
5199,"[374346, 408700, 219935]"
5200,"[223322, 143235, 487847]"
5201,"[117833, 63014]"
5202,"[99260, 513805, 188254]"
5203,"[62728, 302650]"
5204,"[566896, 154070]"
5205,"[202148, 93950]"
5206,"[326211, 174159, 257103, 563412, 439319, 159449, 264091, 467931, 28460, 122669, 575537, 215091, 392438, 547383, 573368, 309695]"
5207,"[544329, 202459, 547433]"
5208,"[330290, 168404, 202646, 306471, 487853]"
5209,"[105499, 570761, 238171, 247621]"
5210,"[320461, 332878]"
5211,"[511145, 161902]"
5212,"[55874, 498284]"
5213,"[503571, 431404, 317220]"
5214,"[372016, 361855]"
5215,"[386304, 353425, 380670, 162487]"
5216,"[212954, 41450, 420932, 391967]"
5217,"[149533, 193166]"
5218,"[143448, 210359]"
5219,"[161344, 508397, 341398]"
5220,"[480482, 384259]"
5221,"[155712, 227072]"
5222,"[69505, 28533]"
5223,"[309760, 370649]"
5224,"[48521, 337530, 513788]"
5225,"[60920, 147625, 337238]"
5226,"[576267, 465003]"
5227,"[500148, 101959, 278184, 257758, 56974]"
